Address,Latitude,Longitude,Type
limat bank kazanchis,9.0139844,38.7696382,"establishment,food,point_of_interest,restaurant"
lafto medhainalem,8.980411,38.7429214,"church,establishment,place_of_worship,point_of_interest"
kazanchis enat building,9.0298931,38.7534463,"establishment,point_of_interest,premise"
ilustion,9.0178947,38.7541562,"establishment,night_club,point_of_interest"
ilusion,9.0178947,38.7541562,"establishment,night_club,point_of_interest"
ICS america school,8.996519,38.727623,"establishment,point_of_interest"
ics,8.9963835,38.7279819,"establishment,point_of_interest,school"
home,9.0166005,38.7577605,"establishment,lodging,point_of_interest"
hilton hotel,9.018495,38.76496,"establishment,lodging,point_of_interest"
hill side school,9.0279223,38.8326895,"establishment,point_of_interest,school"
hayat hospital,8.9944346,38.7952916,"establishment,hospital,point_of_interest"
greek club ,9.0084889,38.7685824,"establishment,food,point_of_interest,restaurant"
gotera condominium,8.9847827,38.7557975,"establishment,point_of_interest"
gofa,8.9800888,38.7492108,"establishment,lodging,point_of_interest"
global hotel fifit,8.9934481,38.7597643,"establishment,lodging,point_of_interest"
getji korean hospital,8.9994166,38.8077972,"establishment,hospital,point_of_interest"
gerji police tabya,8.9847827,38.7557975,"establishment,point_of_interest"
gerji koreya hospital,8.9994166,38.8077972,"establishment,hospital,point_of_interest"
gerji corea hospital,8.9994166,38.8077972,"establishment,hospital,point_of_interest"
gerji,9.0062194,38.8231602,"neighborhood,political"
gelan condominium,8.8819764,38.7677908,"establishment,point_of_interest"
gebetu,8.9904743,38.7821047,"establishment,point_of_interest"
g commercial,8.98445,38.7877115,"establishment,point_of_interest,school"
fendika kazanchis,9.019046,38.770218,"establishment,point_of_interest"
fantu ,8.9919228,38.7819941,"establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket"
dremliner,8.9951333,38.7670022,"bar,establishment,lodging,point_of_interest"
denbrwa,9.0179355,38.8473129,"establishment,point_of_interest,school"
cmc ,9.0082027,38.8510787,"establishment,health,point_of_interest"
bolle selam city,8.9790456,38.7490492,premise
bolle airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
bole noc,8.98863,38.790616,"establishment,point_of_interest"
bole mega,8.9999798,38.7701506,premise
bole medhanialem ,8.9960687,38.7894876,"church,establishment,place_of_worship,point_of_interest"
bole birass,8.9900395,38.7935202,"establishment,hospital,point_of_interest"
bole ambasader hotel,8.9920334,38.7882155,"establishment,lodging,point_of_interest"
bisarate gebreal,8.9914822,38.7266726,"church,establishment,place_of_worship,point_of_interest"
beshale hotel,9.0199096,38.8245823,"establishment,lodging,point_of_interest"
bemnet bole,8.9992602,38.7892468,"establishment,food,point_of_interest,restaurant"
balderas,9.028504,38.7844597,"establishment,lodging,point_of_interest"
balcha,9.0118865,38.7380816,"establishment,hospital,point_of_interest"
azeman,9.0010642,38.7827377,"establishment,lodging,point_of_interest"
ayat neru boton caf_,9.0082027,38.8510787,"cafe,establishment,food,point_of_interest"
ayat ,9.0156295,38.7692511,"establishment,point_of_interest,premise"
ayat,9.0156295,38.7692511,"establishment,point_of_interest,premise"
atlas ,9.0037118,38.7805761,"establishment,lodging,point_of_interest"
aiport domestic,8.9800689,38.7989319,"airport,establishment,point_of_interest"
agona,8.9871071,38.7592989,"electronics_store,establishment,home_goods_store,movie_theater,point_of_interest,store"
22 buna bank,8.9861623,38.7681841,"bank,establishment,finance,point_of_interest"
 kore hospital,8.9994166,38.8077972,"establishment,hospital,point_of_interest"
2000,9.0014322,38.7815495,"establishment,food,point_of_interest,restaurant"
torhayloch hospital,9.0128546,38.7242317,"establishment,hospital,point_of_interest"
surrnder,9.0071343,38.7766578,"establishment,night_club,point_of_interest"
stadium,9.0130655,38.756779,"establishment,point_of_interest,stadium"
south africa embassy,8.9946972,38.7289739,"embassy,establishment,point_of_interest"
sheraton hotel,9.015466,38.769788,"establishment,lodging,point_of_interest"
sarli spa wello sefer,8.9954105,38.7759849,"establishment,point_of_interest,spa"
rwanda bole,8.9869641,38.7806332,"establishment,point_of_interest,taxi_stand"
republic,9.030029,38.7330205,"bar,establishment,point_of_interest"
replic,9.0162286,38.7538045,"embassy,establishment,point_of_interest"
rebecca ,9.0155921,38.7847956,premise
ramada  ,8.991897,38.782873,"establishment,lodging,point_of_interest"
radison blue kazanchis,9.016298,38.767855,"establishment,lodging,point_of_interest"
r blue kazanchis,9.0323607,38.7546115,premise
post office,9.0347078,38.7372541,"establishment,finance,point_of_interest,post_office"
piasa hager fiker,9.0378882,38.7545706,"establishment,point_of_interest"
panroma hotel ,9.017544,38.796474,"establishment,lodging,point_of_interest"
nega city mall,9.0165951,38.765763,"establishment,point_of_interest,shopping_mall"
mola maru ledeta,9.0228125,38.735368,"establishment,point_of_interest"
mexico federal pollice,9.0099504,38.7436728,"establishment,point_of_interest"
meskel flwoer,8.9957193,38.7666632,route
mega bole,8.9896428,38.7865512,"establishment,point_of_interest,shopping_mall"
mamas bole,8.9961298,38.7877783,"establishment,food,point_of_interest,restaurant"
ledeta ,9.0063465,38.7315822,"political,sublocality,sublocality_level_1"
kazanchis intercontinetnal,9.015466,38.769788,"establishment,lodging,point_of_interest"
kaleb hotel,8.995587,38.786024,"establishment,lodging,point_of_interest"
jemo 3 condominium,8.9561873,38.6912745,"establishment,point_of_interest"
jemo 1,8.9600119,38.7052417,"establishment,point_of_interest,premise"
japan embassy aldin ,9.0114665,38.8065185,"embassy,establishment,point_of_interest"
izebshen,8.9735081,38.7284113,"establishment,point_of_interest,school"
immigration,9.0221167,38.7507261,"establishment,point_of_interest"
ilussion,9.0178947,38.7541562,"establishment,night_club,point_of_interest"
hotel,8.995529,38.787224,"establishment,lodging,point_of_interest"
hana maryam,8.9371144,38.7403303,"bank,establishment,finance,point_of_interest"
greec school,9.0074451,38.7690783,"establishment,point_of_interest,school"
golagol tower,9.0155525,38.7871168,premise
get fam,9.0147357,38.7837279,"establishment,lodging,point_of_interest"
gerji sunshine,8.9943122,38.8115565,"establishment,point_of_interest"
filwha,9.0181273,38.7579241,"establishment,lodging,point_of_interest"
filweha,9.0181273,38.7579241,"establishment,lodging,point_of_interest"
elii hostel,9.0144345,38.7689649,"establishment,lodging,point_of_interest"
elfe hotel,8.995529,38.787224,"establishment,lodging,point_of_interest"
ECA kazanchis,9.0132644,38.7678042,route
dody bole,8.99944,38.7838388,"establishment,food,point_of_interest,restaurant"
den,9.0080974,38.7686598,"establishment,lodging,point_of_interest"
dembel,9.004895,38.767084,"establishment,point_of_interest,shopping_mall"
debroha school summit,9.0179355,38.8473129,"establishment,point_of_interest,school"
capital,8.9806034,38.7577605,"locality,political"
canda embassy,8.9950337,38.7358323,"embassy,establishment,point_of_interest"
boston day spa,8.9907495,38.7837711,"establishment,point_of_interest,spa"
bonsto,8.9907495,38.7837711,"establishment,point_of_interest,spa"
bole stadiu 22,9.0026986,38.7911831,"establishment,point_of_interest,stadium"
bole minilium,8.9902942,38.7895542,"city_hall,establishment,local_government_office,point_of_interest"
bole michael,8.9828212,38.7737929,"establishment,point_of_interest"
bole edna mall,8.9973888,38.7867701,"establishment,point_of_interest,shopping_mall"
bole dembel,9.004895,38.767084,"establishment,point_of_interest,shopping_mall"
bole caldis coffe,8.9951953,38.7389638,"cafe,establishment,food,point_of_interest"
bole bulbula,8.9754484,38.7721541,"neighborhood,political"
bole ayat hospital,8.9944346,38.7952916,"establishment,hospital,point_of_interest"
bole atlas rakan,9.0037118,38.7805761,"establishment,lodging,point_of_interest"
bole alem building,8.9902817,38.7848685,premise
bole airport,8.9800689,38.7989319,"airport,establishment,point_of_interest"
biherawi tiyater,9.0162866,38.7523621,"establishment,point_of_interest"
bemnet,8.9992602,38.7892468,"establishment,food,point_of_interest,restaurant"
baltcha hospita,9.0118865,38.7380816,"establishment,hospital,point_of_interest"
ayat sunshine,8.998764,38.785166,"establishment,point_of_interest,real_estate_agency"
awash bank ,8.9899382,38.7418314,"bank,establishment,finance,point_of_interest"
atlas ephoy,9.0025438,38.7796968,"establishment,food,point_of_interest,restaurant"
ambassel bldg,8.9856636,38.7677787,"establishment,point_of_interest"
ambasader posta bet,8.9920334,38.7882155,"establishment,lodging,point_of_interest"
airport head office bole,8.9800689,38.7989319,"airport,establishment,point_of_interest"
adwa dildiy,9.0233025,38.777402,"establishment,lodging,point_of_interest"
